ID: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000        
Frame 0629    0111 00000000000007e4
Frame 0630    0111 00000000000001f4
Frame 0631    0111 00000000000007dc
Frame 0632    0111 00000000000007dc
Frame 0633    0111 00000000000007d6
Frame 0634    0111 00000000000007e6
Frame 0635    0111 00000000000006f2
Frame 0636    0111 00000000000007e4
Frame 0637    0111 00000000000007e0
Frame 0638    0111 00000000000007e6
Frame 0639    0111 00000000000007a2
Frame 0640    0111 0000000000000416
Frame 0641    0111 00000000000007da
Frame 0642    0111 00000000000006dc
Frame 0643    0111 000000000000063c
Frame 0644    0111 00000000000007be
Frame 0645    0111 00000000000007da
Frame 0646    0111 00000000000007e6
Frame 0647    0111 00000000000007e4
Frame 0648    0111 00000000000007e2
Frame 0649    0111 000000000000061a
Frame 0650    0111 00000000000007da
Frame 0651    0111 00000000000007e6
Frame 0652    0111 00000000000007d2
Frame 0653    0111 00000000000007e2
Frame 0654    0111 0000000000000560
Frame 0655    0111 00000000000006dc
Frame 0656    0111 00000000000007c2
Frame 0657    0111 00000000000007e6
Frame 0658    0111 00000000000007e6
Frame 0659    0111 0000000000000744
Frame 0660    0111 0000000000000756
Frame 0661    0111 0000000000000776
Frame 0662    0111 0000000000000708
Frame 0663    0111 00000000000007c4
Frame 0664    0111 00000000000004fa
Frame 0665    0111 0000000000000558
Frame 0666    0111 00000000000007e0
Frame 0667    0111 0000000000000778
Frame 0668    0111 00000000000007c2
Frame 0669    0111 00000000000007ac
Frame 0670    0111 00000000000007c6
Frame 0671    0111 0000000000000406
Frame 0672    0111 00000000000007d4
Frame 0673    0111 0000000000000684
Frame 0674    0111 00000000000007e6
Frame 0675    0111 00000000000007ca
Frame 0676    0111 00000000000006ee
Frame 0677    0111 0000000000000620
Frame 0678    0111 000000000000063c
Frame 0679    0111 00000000000007ba
Frame 0680    0111 0000000000000796
Frame 0681    0111 0000000000000762
Frame 0682    0111 00000000000007e6
Frame 0683    0111 00000000000007d2
Frame 0684    0111 00000000000007e4
Frame 0685    0111 00000000000007e6
Frame 0686    0111 00000000000007d4
Frame 0687    0111 0000000000000796
Frame 0688    0111 0000000000000206
Frame 0689    0111 00000000000007c2
Frame 0690    0111 0000000000000760
Frame 0691    0111 0000000000000238
Frame 0692    0111 0000000000000734
Frame 0693    0111 00000000000007e4
Frame 0694    0111 000000000000077c
Frame 0695    0111 00000000000007e4
Frame 0696    0111 0000000000000560
Frame 0697    0111 00000000000007d8
Frame 0698    0111 00000000000007de
Frame 0699    0111 00000000000007dc
Frame 0700    0111 00000000000007e0
Frame 0701    0111 0000000000000768
Frame 0702    0111 000000000000079a
Frame 0703    0111 00000000000007e0
Frame 0704    0111 000000000000056e
Frame 0705    0111 000000000000064c
Frame 0706    0111 00000000000007be
Frame 0707    0111 0000000000000754
Frame 0708    0111 00000000000007e6
Frame 0709    0111 00000000000007e4
Frame 0710    0111 00000000000007e4
Frame 0711    0111 000000000000068e
Frame 0712    0111 00000000000007e6
Frame 0713    0111 000000000000074e
Frame 0714    0111 0000000000000518
Frame 0715    0111 00000000000007e6
Frame 0716    0111 000000000000057c
Frame 0717    0111 00000000000007e4
Frame 0718    0111 00000000000000b4
Frame 0719    0111 00000000000007b2
Frame 0720    0111 000000000000057c
Frame 0721    0111 00000000000007e2
Frame 0722    0111 00000000000007e4
Frame 0723    0111 00000000000006c0
Frame 0724    0111 00000000000007be
Frame 0725    0111 000000000000076a
Frame 0726    0111 0000000000000714
Frame 0727    0111 00000000000007a4
Frame 0728    0111 00000000000007c6
Frame 0729    0111 0000000000000794
Frame 0730    0111 00000000000007dc
Frame 0731    0111 00000000000007dc
Frame 0732    0111 00000000000007e6
Frame 0733    0111 000000000000040e
Frame 0734    0111 0000000000000158
Frame 0735    0111 00000000000007e2
Frame 0736    0111 00000000000007c6
Frame 0737    0111 00000000000006c0
Frame 0738    0111 0000000000000724
Frame 0739    0111 0000000000000552
Frame 0740    0111 0000000000000776
Frame 0741    0111 0000000000000792
Frame 0742    0111 00000000000007c4
Frame 0743    0111 00000000000007da
Frame 0744    0111 00000000000006b2
Frame 0745    0111 00000000000006d0
Frame 0746    0111 00000000000007cc
Frame 0747    0111 0000000000000692
Frame 0748    0111 0000000000000754
Frame 0749    0111 00000000000007e2
Frame 0750    0111 00000000000007cc
Frame 0751    0111 0000000000000666
Frame 0752    0111 00000000000007a0
Frame 0753    0111 0000000000000724
Frame 0754    0111 00000000000007d4
Frame 0755    0111 00000000000007e6
Frame 0756    0111 0000000000000558
Frame 0757    0111 0000000000000750
Frame 0758    0111 00000000000006c8
Frame 0759    0111 0000000000000792
Frame 0760    0111 00000000000007e6
Frame 0761    0111 00000000000007e6
Frame 0762    0111 00000000000007de
Frame 0763    0111 00000000000007e6
Frame 0764    0111 00000000000007e4
Frame 0765    0111 000000000000068e
Frame 0766    0111 0000000000000398
Frame 0767    0111 00000000000007da
Frame 0768    0111 0000000000000798
Frame 0769    0111 00000000000007a4
Frame 0770    0111 000000000000026e
Frame 0771    0111 000000000000033a
Frame 0772    0111 00000000000007e4
Frame 0773    0111 0000000000000342
Frame 0774    0111 00000000000006a6
Frame 0775    0111 0000000000000000
Frame 0776    0111 00000000000007d2
Frame 0777    0111 00000000000007a4
Frame 0778    0111 00000000000007ca
Frame 0779    0111 00000000000007e6
Frame 0780    0111 00000000000007e6
Frame 0781    0111 00000000000001a6
Frame 0782    0111 00000000000007e2
Frame 0783    0111 00000000000007e6
Frame 0784    0111 00000000000006fe
